,human_development_index,weekly_hosp_admissions,tests_per_case,new_cases,total_deaths,new_vaccinations_smoothed_per_million,new_deaths_smoothed_per_million,population,total_vaccinations,total_cases,new_tests,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,extreme_poverty,positive_rate,total_boosters_per_hundred,handwashing_facilities,new_vaccinations_smoothed,new_cases_per_million,total_boosters,aged_70_older,new_vaccinations,hospital_beds_per_thousand,new_cases_smoothed_per_million,total_vaccinations_per_hundred,new_deaths_smoothed,new_tests_per_thousand,last_updated_date,new_tests_smoothed,people_vaccinated,people_fully_vaccinated,new_people_vaccinated_smoothed_per_hundred,diabetes_prevalence,total_tests,total_deaths_per_million,new_people_vaccinated_smoothed,continent,excess_mortality,excess_mortality_cumulative,cardiovasc_death_rate,total_cases_per_million,stringency_index,new_deaths,icu_patients,tests_units,gdp_per_capita,total_tests_per_thousand,aged_65_older,excess_mortality_cumulative_absolute,weekly_hosp_admissions_per_million,life_expectancy,new_cases_smoothed,new_deaths_per_million,female_smokers,hosp_patients,male_smokers,population_density,icu_patients_per_million,location,new_tests_smoothed_per_thousand,hosp_patients_per_million,excess_mortality_cumulative_per_million,weekly_icu_admissions,reproduction_rate,median_age,people_fully_vaccinated_per_hundred
AFG,0.511,,,0.0,7998.0,,0.0,41128772.0,,235214.0,,,,,,,37.746,,0.0,,1.337,,0.5,0.0,,0.0,,2024-08-04,,,,,9.59,,197.098,,Asia,,,597.029,5796.468,,0.0,,,1803.987,,2.581,,,64.83,0.0,0.0,,,,54.422,,Afghanistan,,,,,,18.6,
OWID_AFR,,,,36.0,259117.0,,0.0,1426736614.0,,13145380.0,,,,,,,,,0.025,,,,,0.004,,0.0,,2024-08-04,,,,,,,179.157,,,,,,9088.877,,0.0,,,,,,,,,5.143,0.0,,,,,,Africa,,,,,,,
ALB,0.795,,,0.0,3605.0,,0.0,2842318.0,,335047.0,,,,1.1,,,,,0.0,,8.643,,2.89,0.0,,0.0,,2024-08-04,,,,,10.08,,1274.926,,Europe,,,304.195,118491.02,,0.0,,,11803.431,,13.188,,,78.57,0.0,0.0,7.1,,51.2,104.871,,Albania,,,,,,38.0,
DZA,0.748,,,18.0,6881.0,,0.0,44903228.0,,272139.0,,,,0.5,,,83.741,,0.396,,3.857,,1.9,0.057,,0.0,,2024-08-04,,,,,6.73,,151.306,,Africa,,,278.364,5984.05,,0.0,,,13913.839,,6.211,,,76.88,2.571,0.0,0.7,,30.4,17.348,,Algeria,,,,,,29.1,
ASM,,,,0.0,34.0,,0.0,44295.0,,8359.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,702.988,,Oceania,,,283.75,172831.6,,0.0,,,,,,,,73.74,0.0,0.0,,,,278.205,,American Samoa,,,,,,,
AND,0.868,,,0.0,159.0,,0.0,79843.0,,48015.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,7.97,,1994.431,,Europe,,,109.135,602280.44,,0.0,,,,,,,,83.73,0.0,0.0,29.0,,37.8,163.755,,Andorra,,,,,,,
AGO,0.581,,,0.0,1937.0,,0.0,35588996.0,,107481.0,,,,,,,26.664,,0.0,,1.362,,,0.0,,0.0,,2024-08-04,,,,,3.94,,54.357,,Africa,,,276.045,3016.162,,0.0,,,5819.495,,2.405,,,61.15,0.0,0.0,,,,23.89,,Angola,,,,,,16.8,
AIA,,,,0.0,12.0,,0.0,15877.0,,3904.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,844.951,,North America,,,,274890.88,,0.0,,,,,,,,81.88,0.0,0.0,,,,,,Anguilla,,,,,,,
ATG,0.778,,,0.0,146.0,,0.0,93772.0,,9106.0,,,,,,,,,0.0,,4.631,,3.8,0.0,,0.0,,2024-08-04,,,,,13.17,,1572.412,,North America,,,191.511,98071.1,,0.0,,,21490.943,,6.933,,,77.02,0.0,0.0,,,,231.845,,Antigua and Barbuda,,,,,,32.1,
ARG,0.845,,,54.0,130663.0,,0.003,45510324.0,,10101218.0,,,,0.6,,,,,1.189,,7.441,,5.0,0.17,,0.143,,2024-08-04,,,,,5.5,,2877.538,,South America,,,191.032,222455.06,,1.0,,,18933.907,,11.198,,,76.67,7.714,0.022,16.2,,27.7,16.177,,Argentina,,,,,,31.9,
ARM,0.776,,,0.0,8777.0,,0.0,2780472.0,,452273.0,,,,1.8,,,94.043,,0.0,,7.571,,4.2,0.0,,0.0,,2024-08-04,,,,,7.11,,3046.635,,Asia,,,341.01,156991.11,,0.0,,,8787.58,,11.232,,,75.09,0.0,0.0,1.5,,52.1,102.931,,Armenia,,,,,,35.7,
ABW,,,,0.0,292.0,,0.0,106459.0,,44224.0,,,,,,,,,0.0,,7.452,,,0.0,,0.0,,2024-08-04,,,,,11.62,,2708.921,,North America,,,,410271.62,,0.0,,,35973.781,,13.085,,,76.29,0.0,0.0,,,,584.8,,Aruba,,,,,,41.2,
OWID_ASI,,,,4515.0,1637249.0,0.0,0.001,4721383370.0,9104304615.0,301499099.0,,,78.14,,,38.45,,193.0,0.958,1815176944.0,,258.0,,0.137,192.83,2.429,,2024-08-14,,3689438947.0,3462095463.0,0.0,,,347.262,10.0,,,,,63948.2,,17.0,,,,,,,,,645.0,0.004,,,,,,Asia,,,,,,,73.33
AUS,0.944,,,0.0,25236.0,,0.0,26177410.0,,11861161.0,,,,0.5,,,,,0.0,,10.129,,3.84,0.0,,0.0,,2024-08-04,,,,,5.07,,963.17,,Oceania,,,107.791,452699.0,,0.0,,,44648.71,,15.504,,,83.44,0.0,0.0,13.0,,16.5,3.202,,Australia,,,,,,37.9,
AUT,0.922,,,15.0,22534.0,,0.0,8939617.0,,6082444.0,,,,0.7,,,,,1.655,,13.748,,7.37,0.236,,0.0,,2024-08-04,,,,,6.35,,2485.912,,Europe,,,145.183,671004.9,,0.0,,,45436.686,,19.202,,,81.54,2.143,0.0,28.4,,30.9,106.749,,Austria,,,,,,44.4,
AZE,0.756,,,63.0,10353.0,,0.0,10358078.0,,835757.0,,,,,,,83.241,,6.119,,3.871,,4.7,0.874,,0.0,,2024-08-04,,,,,7.11,,1005.604,,Asia,,,559.812,81178.445,,0.0,,,15847.419,,6.018,,,73.0,9.0,0.0,0.3,,42.5,119.309,,Azerbaijan,,,,,,32.4,
BHS,0.814,,,0.0,849.0,,0.0,409989.0,,39127.0,,,,,,,,,0.0,,5.2,,2.9,0.0,,0.0,,2024-08-04,,,,,13.17,,2135.612,,North America,,,235.954,98421.81,,0.0,,,27717.847,,8.996,,,73.92,0.0,0.0,3.1,,20.4,39.497,,Bahamas,,,,,,34.3,
BHR,0.852,,,0.0,1536.0,,0.0,1472237.0,,696614.0,,,,,,,,,0.0,,1.387,,2.0,0.0,,0.0,,2024-08-04,,,,,16.52,,1001.657,,Asia,,,151.689,454276.25,,0.0,,,43290.705,,2.372,,,77.29,0.0,0.0,5.8,,37.6,1935.907,,Bahrain,,,,,,32.4,
BGD,0.632,,,40.0,29499.0,,0.0,171186368.0,,2051348.0,,,,14.8,,,34.808,,0.236,,3.262,,0.8,0.034,,0.0,,2024-08-04,,,,,8.38,,174.154,,Asia,,,298.003,12110.572,,0.0,,,3523.984,,5.098,,,72.59,5.714,0.0,1.0,,44.7,1265.036,,Bangladesh,,,,,,27.5,
BRB,0.814,,,57.0,593.0,,0.0,281646.0,,108582.0,,,,,,,88.469,,201.896,,9.473,,5.8,28.842,,0.0,,2024-08-04,,,,,13.57,,2100.424,,North America,,,170.05,384600.7,,0.0,,,16978.068,,14.952,,,79.19,8.143,0.0,1.9,,14.5,664.463,,Barbados,,,,,,39.8,
BLR,0.823,,,0.0,7118.0,,0.0,9534956.0,,994037.0,,,,,,,,,0.0,,9.788,,11.0,0.0,,0.0,,2024-08-04,,,,,5.18,,775.953,,Europe,,,443.129,108362.68,,0.0,,,17167.967,,14.799,,,74.79,0.0,0.0,10.5,,46.1,46.858,,Belarus,,,,,,40.3,
BEL,0.931,,,1277.0,34339.0,,0.0,11655923.0,,4872829.0,,,,0.2,,,,,109.691,,12.849,,5.64,15.67,,0.0,,2024-08-04,,,,,4.29,,2949.626,,Europe,,,114.898,418562.72,,0.0,,,42658.576,,18.571,,,81.63,182.429,0.0,25.1,,31.4,375.564,,Belgium,,,,,,41.8,
BLZ,0.716,,,0.0,688.0,,0.0,405285.0,,71414.0,,,,,,,90.083,,0.0,,2.279,,1.3,0.0,,0.0,,2024-08-04,,,,,17.11,,1708.294,,North America,,,176.957,177319.92,,0.0,,,7824.362,,3.853,,,74.62,0.0,0.0,,,,16.426,,Belize,,,,,,25.0,
BEN,0.545,,,0.0,163.0,,0.0,13352864.0,,28036.0,,,,49.6,,,11.035,,0.0,,1.942,,0.5,0.0,,0.0,,2024-08-04,,,,,0.99,,11.846,,Africa,,,235.848,2037.573,,0.0,,,2064.236,,3.244,,,61.77,0.0,0.0,0.6,,12.3,99.11,,Benin,,,,,,18.8,
BMU,,,,0.0,165.0,,0.0,64207.0,,18860.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,13.0,,2547.397,,North America,,,139.547,291175.2,,0.0,,,50669.315,,,,,82.59,0.0,0.0,,,,1308.82,,Bermuda,,,,,,,
BTN,0.654,,,0.0,21.0,,0.0,782457.0,,62697.0,,,,1.5,,,79.807,,0.0,,2.977,,1.7,0.0,,0.0,,2024-08-04,,,,,9.75,,26.891,,Asia,,,217.066,80286.07,,0.0,,,8708.597,,4.885,,,71.78,0.0,0.0,,,,21.188,,Bhutan,,,,,,28.6,
BOL,0.718,,,2.0,22387.0,,0.0,12224114.0,,1212147.0,,,,7.1,,,25.383,,0.166,,4.393,,1.1,0.024,,0.0,,2024-08-04,,,,,6.89,,1853.665,,South America,,,204.299,100366.93,,0.0,,,6885.829,,6.704,,,71.51,0.286,0.0,,,,10.202,,Bolivia,,,,,,25.4,
BES,,,,0.0,41.0,,0.0,27052.0,,11922.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,1430.865,,North America,,,,416067.56,,0.0,,,,,,,,77.79,0.0,0.0,,,,,,Bonaire Sint Eustatius and Saba,,,,,,,
BIH,0.78,,,0.0,16392.0,,0.0,3233530.0,,403666.0,,,,0.2,,,97.164,,0.0,,10.711,,3.5,0.0,,0.0,,2024-08-04,,,,,10.08,,5114.82,,Europe,,,329.635,125956.49,,0.0,,,11713.895,,16.569,,,77.4,0.0,0.0,30.2,,47.7,68.496,,Bosnia and Herzegovina,,,,,,42.5,
BWA,0.735,,,0.0,2801.0,,0.0,2630300.0,,330696.0,,,,,,,,,0.0,,2.242,,1.8,0.0,,0.0,,2024-08-04,,,,,4.81,,1148.0,,Africa,,,237.372,135536.98,,0.0,,,15807.374,,3.941,,,69.59,0.0,0.0,5.7,,34.4,4.044,,Botswana,,,,,,25.8,
BRA,0.765,,,0.0,702116.0,,0.0,215313504.0,,37511921.0,,,,3.4,,,,,0.0,,5.06,,2.2,0.0,,0.0,,2024-08-04,,,,,8.11,,3338.538,,South America,,,177.961,178367.94,,0.0,,,14103.452,,8.552,,,75.88,0.0,0.0,10.1,,17.9,25.04,,Brazil,,,,,,33.5,
VGB,,,,0.0,64.0,,0.0,31332.0,,7557.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,13.67,,1669.101,,North America,,,,197084.3,,0.0,,,,,,,,79.07,0.0,0.0,,,,207.973,,British Virgin Islands,,,,,,,
BRN,0.838,,,288.0,179.0,,0.314,449002.0,,347723.0,,,,,,,,,632.447,,2.382,,2.7,90.35,,0.143,,2024-08-04,,,,,12.79,,393.084,,Asia,,,201.285,763598.6,,1.0,,,71809.251,,4.591,,,75.86,41.143,2.196,2.0,,30.9,81.347,,Brunei,,,,,,32.4,
BGR,0.816,,,257.0,38700.0,,0.0,6781955.0,,1329988.0,,,,1.5,,,,,37.651,,13.272,,7.454,5.379,,0.0,,2024-08-04,,,,,5.81,,5669.613,,Europe,,,424.688,194845.4,,0.0,,,18563.307,,20.801,,,75.05,36.714,0.0,30.1,,44.4,65.18,,Bulgaria,,,,,,44.7,
BFA,0.452,,,0.0,400.0,,0.0,22673764.0,,22139.0,,,,43.7,,,11.877,,0.0,,1.358,,0.4,0.0,,0.0,,2024-08-04,,,,,2.42,,17.771,,Africa,,,269.048,983.56,,0.0,,,1703.102,,2.409,,,61.58,0.0,0.0,1.6,,23.9,70.151,,Burkina Faso,,,,,,17.6,
BDI,0.433,,,0.0,15.0,,0.0,12889583.0,,54569.0,,,,71.7,,,6.144,,0.0,,1.504,,0.8,0.0,,0.0,,2024-08-04,,,,,6.05,,1.126,,Africa,,,293.068,4096.433,,0.0,,,702.225,,2.562,,,61.58,0.0,0.0,,,,423.062,,Burundi,,,,,,17.5,
KHM,0.594,,,6.0,3056.0,,0.0,16767851.0,,139319.0,,,,,,,66.229,,0.349,,2.385,,0.8,0.05,,0.0,,2024-08-04,,,,,4.0,,177.657,,Asia,,,270.892,8099.134,,0.0,,,3645.07,,4.412,,,69.82,0.857,0.0,2.0,,33.7,90.672,,Cambodia,,,,,,25.6,
CMR,0.563,,,0.0,1974.0,,0.0,27914542.0,,125246.0,,,,23.8,,,2.735,,0.0,,1.919,,1.3,0.0,,0.0,,2024-08-04,,,,,7.2,,71.437,,Africa,,,244.661,4532.516,,0.0,,,3364.926,,3.165,,,59.29,0.0,0.0,,,,50.885,,Cameroon,,,,,,18.8,
CAN,0.929,,,38.0,55282.0,11.0,0.0,38454328.0,102877159.0,4819055.0,,,,0.5,,90.73,,442.0,0.979,34890285.0,10.797,,2.5,0.14,267.53,0.0,,2024-08-04,,,,,7.37,,1424.014,,North America,,,105.599,124134.43,,0.0,,,44017.591,,16.984,,,82.43,5.429,0.0,12.0,,16.6,4.037,,Canada,,,,,,41.4,
CPV,0.665,,,0.0,417.0,,0.0,593162.0,,64474.0,,,,,,,,,0.0,,3.437,,2.1,0.0,,0.0,,2024-08-04,,,,,2.42,,802.309,,Africa,,,182.219,124048.1,,0.0,,,6222.554,,4.46,,,72.98,0.0,0.0,2.1,,16.5,135.58,,Cape Verde,,,,,,25.7,
CYM,,,,0.0,37.0,,0.0,68722.0,,31472.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,13.22,,516.695,,North America,,,,439497.84,,0.0,,,49903.029,,,,,83.92,0.0,0.0,,,,256.496,,Cayman Islands,,,,,,,
CAF,0.397,,,0.0,113.0,,0.0,5579148.0,,15441.0,,,,,,,16.603,,0.0,,2.251,,1.0,0.0,,0.0,,2024-08-04,,,,,6.1,,22.165,,Africa,,,435.727,3028.812,,0.0,,,661.24,,3.655,,,53.28,0.0,0.0,,,,7.479,,Central African Republic,,,,,,18.3,
TCD,0.398,,,0.0,194.0,,0.0,17723312.0,,7702.0,,,,38.4,,,5.818,,0.0,,1.446,,,0.0,,0.0,,2024-08-04,,,,,6.1,,10.512,,Africa,,,280.995,417.332,,0.0,,,1768.153,,2.486,,,54.24,0.0,0.0,,,,11.833,,Chad,,,,,,16.7,
CHL,0.851,,,100.0,62730.0,,0.0,19603736.0,,5401126.0,,,,1.3,,,,,5.114,,6.938,,2.11,0.731,,0.0,,2024-08-04,,,,,8.46,,3208.198,,South America,,,127.993,276229.6,,0.0,,,22767.037,,11.087,,,80.18,14.286,0.0,34.2,,41.5,24.282,,Chile,,,,,,35.4,
CHN,0.761,,,2087.0,122304.0,,0.002,1425887360.0,,99373219.0,,,,0.7,,,,,1.464,,5.929,,4.34,0.209,,2.143,,2024-08-04,,,,,9.74,,85.817,,Asia,,,261.899,69726.805,,15.0,,,15308.712,,10.641,,,76.91,298.143,0.011,1.9,,48.4,147.674,,China,,,,,,38.7,
COL,0.767,,,976.0,142727.0,,0.0,51874028.0,,6391876.0,,,,4.5,,,65.386,,18.864,,4.312,,1.71,2.695,,0.0,,2024-08-04,,,,,7.44,,2758.652,,South America,,,124.24,123543.3,,0.0,,,13254.949,,7.646,,,77.29,139.429,0.0,4.7,,13.5,44.223,,Colombia,,,,,,32.2,
COM,0.554,,,0.0,160.0,,0.0,836783.0,,9109.0,,,,18.1,,,15.574,,0.0,,1.726,,2.2,0.0,,0.0,,2024-08-04,,,,,11.88,,191.802,,Africa,,,261.516,10919.549,,0.0,,,1413.89,,2.963,,,64.32,0.0,0.0,4.4,,23.6,437.352,,Comoros,,,,,,20.4,
COG,0.574,,,0.0,389.0,,0.0,5970430.0,,25227.0,,,,37.0,,,47.964,,0.0,,2.063,,,0.0,,0.0,,2024-08-04,,,,,7.2,,64.456,,Africa,,,344.094,4180.042,,0.0,,,4881.406,,3.402,,,64.57,0.0,0.0,1.7,,52.3,15.405,,Congo,,,,,,19.0,
COK,,,,1.0,2.0,,0.0,17032.0,,7345.0,,,,,,,,,67.81,,,,,9.687,,0.0,,2024-08-04,,,,,,,135.621,,Oceania,,,,498067.4,,0.0,,,,,,,,76.25,0.143,0.0,,,,,,Cook Islands,,,,,,,
CRI,0.81,,,0.0,9372.0,,0.0,5180836.0,,1234701.0,,,,1.3,,,83.841,,0.0,,5.694,,1.13,0.0,,0.0,,2024-08-04,,,,,8.78,,1844.241,,North America,,,137.973,242966.97,,0.0,,,15524.995,,9.468,,,80.28,0.0,0.0,6.4,,17.4,96.079,,Costa Rica,,,,,,33.6,
CIV,0.538,,,0.0,835.0,,0.0,28160548.0,,88434.0,,,,28.2,,,19.351,,0.0,,1.582,,,0.0,,0.0,,2024-08-04,,,,,2.42,,27.472,,Africa,,,303.74,2909.492,,0.0,,,3601.006,,2.933,,,57.78,0.0,0.0,,,,76.399,,Cote d'Ivoire,,,,,,18.7,
HRV,0.851,,,0.0,18752.0,,0.0,4030361.0,,1317144.0,,,,0.7,,,,,0.0,,13.053,,5.54,0.0,,0.0,,2024-08-04,,,,,5.59,,4799.552,,Europe,,,253.782,337121.47,,0.0,,,22669.797,,19.724,,,78.49,0.0,0.0,34.3,,39.9,73.726,,Croatia,,,,,,44.0,
CUB,0.783,,,0.0,8530.0,,0.0,11212198.0,,1113662.0,,,,,,,85.198,,0.0,,9.719,,5.2,0.0,,0.0,,2024-08-04,,,,,8.27,,771.26,,North America,,,190.968,100694.4,,0.0,,,,,14.738,,,78.8,0.0,0.0,17.1,,53.3,110.408,,Cuba,,,,,,43.1,
CUW,,,,0.0,305.0,,0.0,191173.0,,45883.0,,,,,,,,,0.0,,10.068,,,0.0,,0.0,,2024-08-04,,,,,11.62,,1645.527,,North America,,,,247546.55,,0.0,,,,,16.367,,,78.88,0.0,0.0,,,,362.644,,Curacao,,,,,,41.7,
CYP,0.887,,,0.0,1451.0,,0.0,896007.0,,696410.0,,,,,,,,,0.0,,8.563,,3.4,0.0,,0.0,,2024-08-04,,,,,9.24,,1089.85,,Europe,,,141.171,523075.38,,0.0,,,32415.132,,13.416,,,80.98,0.0,0.0,19.6,,52.7,127.657,,Cyprus,,,,,,37.3,
CZE,0.9,46.0,,571.0,43509.0,0.0,0.013,10493990.0,19047108.0,4761919.0,,0.286,66.53,,,53.19,,4.0,53.498,5581388.0,11.58,4.0,6.63,7.643,181.5,0.143,,2024-08-12,,6982006.0,6895763.0,0.0,6.82,,4076.466,0.0,Europe,,,227.485,446155.97,,1.0,4.0,,32605.906,,19.027,,4.383,79.38,81.571,0.094,30.5,46.0,38.3,137.176,0.381,Czechia,,4.383,,3.0,,43.3,65.71
